Date,PETR3,VALE3
2017-06-29,13.010000228881836,28.899999618530273
2017-06-30,13.199999809265137,29.0
2017-07-03,13.279999732971191,29.649999618530273
2017-07-04,13.319999694824219,29.6200008392334
2017-07-05,13.0600004196167,28.93000030517578
2017-07-06,12.930000305175781,28.920000076293945
2017-07-07,12.680000305175781,28.889999389648438
2017-07-10,12.699999809265137,29.709999084472656
2017-07-11,13.069999694824219,30.040000915527344
2017-07-12,13.579999923706055,29.899999618530273
2017-07-13,13.550000190734863,29.18000030517578
2017-07-14,13.619999885559082,29.520000457763672
2017-07-17,13.449999809265137,29.719999313354492
2017-07-18,13.600000381469727,29.899999618530273
2017-07-19,13.84000015258789,29.899999618530273
2017-07-20,13.630000114440918,28.719999313354492
2017-07-21,13.289999961853027,28.5
2017-07-24,13.430000305175781,29.1299991607666
