LREN3,RADL3,MGLU3,VIIA3,AMER3
45.6,22.36,11.36,8.27,54.78
46.15,22.57,11.36,8.59,54.06
46.17,22.25,11.22,8.81,55.22
46.71,21.66,11.19,9.17,57.63
46.92,21.76,11.11,9.5,58.56
47.15,21.12,10.98,9.45,58.02
47.23,20.78,11.19,9.32,58.31
48.28,20.66,11.31,10.0,60.18
47.15,20.24,11.43,10.23,59.52
46.98,20.46,11.61,10.2,60.08
47.64,19.99,11.86,10.32,60.17
48.18,20.43,11.92,10.0,63.32
48.36,21.1,12.23,10.87,64.88
48.54,20.77,12.28,11.25,65.21
48.26,20.9,11.93,10.99,63.0
49.11,20.69,12.09,11.26,62.61
49.6,20.86,12.12,11.24,62.54
49.66,21.15,12.11,11.37,61.45
50.01,21.37,12.15,11.67,61.35
50.75,21.64,12.23,11.8,61.48
50.06,21.68,12.14,11.5,61.15
50.15,22.01,11.89,11.17,61.61
51.31,22.64,12.3,11.73,63.88
50.96,22.14,12.19,11.48,63.02
50.91,21.7,12.2,11.48,62.62
50.89,21.41,12.17,11.65,62.47
51.22,21.69,12.54,11.6,63.3
50.82,22.34,12.99,11.66,66.68
50.98,21.65,12.92,11.7,65.45
52.09,22.16,13.52,12.7,67.79
51.43,22.49,13.46,13.35,66.99
51.09,22.56,13.38,13.55,68.71
51.5,22.44,13.33,13.59,68.96
52.85,22.81,13.55,13.73,69.84
53.1,23.49,13.96,14.01,74.17
52.61,24.75,13.94,14.32,75.03
53.41,24.8,13.89,15.0,74.34
54.32,24.35,14.11,15.16,73.85
53.7,24.45,14.0,15.0,72.77
52.55,24.65,13.41,13.9,70.69
53.25,24.62,14.21,14.64,73.55
53.55,25.36,14.28,14.45,73.93
52.83,24.71,14.09,14.65,72.52
51.27,24.5,13.91,14.0,69.78
51.56,24.41,14.1,14.49,69.99
50.78,24.28,14.38,14.95,71.98
51.05,24.02,14.29,15.14,72.03
49.28,23.91,13.92,14.85,70.07
49.59,23.76,13.52,14.32,66.6
49.05,23.61,13.06,13.79,64.46
50.41,23.92,13.53,14.62,69.19
50.56,24.09,13.95,14.99,69.51
51.14,23.66,14.23,15.01,71.87
50.38,24.09,14.05,14.73,69.19
51.05,23.81,14.67,15.1,70.22
50.73,23.64,14.52,14.97,70.56
50.43,23.71,14.43,15.9,71.74
49.56,23.48,14.1,15.95,69.57
49.98,24.19,14.08,16.64,71.31
46.99,23.5,13.19,15.0,64.37
45.56,22.33,12.53,14.08,61.46
47.57,23.64,12.6,13.81,60.91
47.3,24.56,13.1,14.34,62.09
47.59,24.63,13.18,14.37,65.18
48.68,24.63,13.08,14.98,67.21
46.23,24.49,11.92,13.96,61.11
45.32,24.28,11.3,11.56,55.14
41.05,22.85,10.06,9.58,48.27
44.84,23.03,11.72,11.62,53.82
42.02,22.68,10.74,11.0,50.76
38.56,19.77,8.48,8.5,42.14
